jobCpy,jobTitle,jobMes,jobSal,jobCon,jobAdd,jobUrl
深圳市爱智慧科技有限公司,"
金融量化研究员实习岗","
深圳-龙岗区|无工作经验|招2人|08-08发布",0.6-1万/月,"岗位职责：
（1）协助两户投资策略的开发、回测和优化；
（2）对量化投资策略的表现进行跟踪、分析和评估；
（3）跟踪国内外资产管理前沿理论，复制研究结果、优化因子研究，协助优化股票风险模型；
（4）参与公司或部门的专项研究课题，完成公司布置的各项工作。
任职要求：
（1）硕士及以上学历，金融、经济、数学、工程或计算机数理统计等相关专业，具有金融、理工复合背景优先；
（2）精通计算机程序设计，熟悉R、Python等至少一种语言工具，熟悉SQLserver、msql等至少一种数据库；
（3）具有一定数理分析、逻辑推理能力和独立研究能力，有很强的学历能力；
（4）诚实守信，具有良好的职业操守和团队协作精神。
职能类别：
金融/经济研究员
算法工程师
关键字：
金融
量化",横岗街道大运软件小镇1栋301室,https://jobs.51job.com/shenzhen-lgq/82462045.html?s=01&t=0
深圳可链科技有限公司,"
测试实习生","
深圳-南山区|无工作经验|本科|招若干人|08-09发布",3-6千/月,"1、根据产品需求，制定app的测试计划以及测试用例的设计和执行，并及时汇报测试进度；
  2、运用各类测试方法，对app进行全面的测试，并形成测试报告；
  3、跟进项目相关的反馈信息，跟开发一起定位产品的问题；
  4、以结果和行动为准则，追求测试高质量；
  
任职要求：
  1、掌握测试用例编写，测试报告编写，具备较强的测试、分析和总结能力；
  2、本科，计算机相关专业；
  3、有接口测试（jmeter）、性能测试（Loadrunner）经验优先；
  4、熟悉一门或多门开发或者脚本语言（如python）者优先；
  5、具有较强的逻辑能力，可以胜任重复性工作，工作细致认真，善于沟通。
职能类别：
软件测试",软件产业基地2栋C座1204,https://jobs.51job.com/shenzhen-nsq/105242358.html?s=01&t=0
深圳市锐明技术股份有限公司,"
算法工程师-实习生（可转正）","
深圳|无工作经验|本科|招5人|08-13发布",6-8千/月,"工作职责:
岗位职责：
1、协助算法工程师进行前沿技术研发工作；
2、参与ADAS、DSM等目标检测、跟踪和识别项目技术研发；
3、从事神经网络模型量化、压缩剪枝等技术研发；
4、使用前沿算法库，并实现相应算法研究。
任职资格:
任职要求：
1、计算机、电子和数理等相关专业高年级本科生以及硕博研究生；
2、熟练C++/ Python/Matlab等，有很强的算法实现能力；
3、了解机器学习和深度学习相关理论知识，对于深度学习具有浓厚的兴趣；
4、熟悉至少一种深度学习框架（Caffe、Tensorflow等）；
5、对一类以上的视觉处理算法有基本了解，如：运动跟踪，Visual SLAM，目标检测，人脸识别等；
6、在CCF会议与期刊发表过高质量论文（CVPR、IJCAI、ECCV、ICCV、MM等）优先；
7、有个人技术博客或GitHub有独立工程优先。
职能类别：
算法工程师
关键字：
算法
视觉图像",深圳市南山区学苑大道1001号南山智园B1栋21-23楼,https://jobs.51job.com/shenzhen/99787632.html?s=01&t=0
深圳市凯丰投资管理有限公司,"
宏观策略研究实习生","
深圳-福田区|无工作经验|招1人|08-13发布",150元/天,"岗位职责：
  
1、收集A股相关的数据并建立数据库，进行计量处理并寻找良好的量化预测指标；
  
2、研究与行业/上市公司业绩相关的宏观-中观核心驱动因素，进行行业风格轮动研究。
  
任职要求：
  
1、至少熟练掌握一门编程语言（包括Python、VBA、MATLAB）和数据库搭建；
  
2、好奇心强，理解能力强，喜欢钻研模型和学术论文，有较强的计量理论实践基础； 
  
3、对于股票市场感兴趣；
  
4、理工科或者金工专业。
  
职能类别：
金融/经济研究员",益田路6001号太平金融大厦26层,https://jobs.51job.com/shenzhen-ftq/105443120.html?s=01&t=0
团贷网,"
算法工程师","
深圳-南山区|无工作经验|招2人|08-17发布",1.5-2.5万/月,"岗位职责：
1、负责数据挖掘/机器学习算法、推荐算法的实现、维护和优化；
2、负责系统运行及模型效果的监控；
3、参与机器学习、推荐系统等架构设计、算法探索等工作。
任职资格：
1、本科以上学历，计算机或数学相关专业，相关工作经验至少三年以上（不包括实习）；
2、对常用的数据挖掘和机器学习算法（分类/聚类算法、LR/GBDT/RF/FTRL）有较深入了解，有实际算法调优经验；
3、具备Linux/Unix环境开发经验，熟悉R/python/Java至少一种编程语言；熟悉大数据相关技术包括Hadoop,Spark等；
4、具有广告、推荐等领域相关研发经验者优先。
核心工作内容：数据挖掘/机器学习算法、推荐算法。
职能类别：
其他",乌石头路8号天明科技大厦,https://jobs.51job.com/shenzhen-nsq/95930456.html?s=01&t=0
中国科学院深圳先进技术研究院,"
客座学生-医学图像与数字手术研究室","
深圳-南山区|无工作经验|硕士|招若干人|08-17发布",1.5-2千/月,"招聘部门
：中国科学院深圳先进技术研究院 医学图像与数字手术研究室
一、招聘职位：
客座研究生
招聘人数：
1-2名
工作内容：
1. 主要从事医学图像分割、配准相关算法设计与系统开发
2. 参与项目设计规划，编写相关设计与规范文档
3. 参与相关科学实验，课题申请，论文写作等
招聘条件：
1. 模式识别、图像处理、生物医学工程等相关方向，有深度学习、医学图像分割与配准背景者优先；
2. 具有较强的编程能力，熟悉Matlab、C++/C、Python等编程语言，掌握ITK/VTK、Caffe、TensorFlow等开源工具者优先；
3. 英语四级以上，能流畅地阅读英文文献，发表过相关的学术论文者优先。
福利待遇：
1. 提供学生公寓住宿、餐费补贴及实习工资等，并可申请季度奖学金、年度奖学金、岗位助学金等； 购买住院医疗保险、重大疾病保险及意外险；
2. 提供参加国内召开的国际会议的机会；
3. 不定期举行专业论坛及学术讲座；
4. 与国内外各领域知名专家教授合作指导学术研究，有较大的自我发展空间；
5. 优异者优先考虑提供在中科院的长期工作机会；
6. 报销一次性来院报到交通费（从学校至我院硬卧标准内，实报实销）。
职能类别：
科研人员",西丽大学城学苑大道1068号,https://jobs.51job.com/shenzhen-nsq/100778808.html?s=01&t=0
平安证券股份有限公司,"
策略交易团队固收投资助理实习生（深圳）","
深圳|无工作经验|硕士|招2人|04-28发布",,"具体要求：
1. 2019年及以后毕业的海内外重点院校金融、数学、金融工程等专业全日制在读硕士及以上学历；
2. 至少掌握一种编程语言 R、matlab、python等
3. 具有较强的沟通协调能力和团队合作精神，能够适应高强度工作要求
4. 具有证券从业资格
5. 具备CFA、FRM等资格者优先
岗位职责：
1.协助进行固收策略交易
2.协助建立衍生品定价模型体系、设计对冲及交易策略
职能类别：
财务顾问",None,https://jobs.51job.com/shenzhen/101471421.html?s=01&t=0
平安证券股份有限公司,"
金融衍生品交易团队固收投资助理实习生（深圳）","
深圳|无工作经验|硕士|招2人|04-28发布",,"具体要求：
1. 2019年及以后毕业的海内外重点院校金融、数学、金融工程等专业全日制在读硕士及以上学历；
2. 至少掌握一种编程语言 R、matlab、python等
3. 具有较强的沟通协调能力和团队合作精神，能够适应高强度工作要求
4. 具有证券从业资格
5. 具备CFA、FRM等资格者优先
岗位职责：
1.协助进行固收策略交易
2.协助建立衍生品定价模型体系、设计对冲及交易策略
职能类别：
财务经理",None,https://jobs.51job.com/shenzhen/101471500.html?s=01&t=0
平安证券股份有限公司,"
投资顾问团队固收投资助理实习生（深圳）","
深圳|无工作经验|硕士|招2人|04-28发布",,"具体要求：
1. 2019年及以后毕业的海内外重点院校金融、数学、金融工程等专业全日制在读硕士及以上学历；
2. 至少掌握一种编程语言 R、matlab、python等
3. 具有较强的沟通协调能力和团队合作精神，能够适应高强度工作要求
4. 具有证券从业资格
5. 具备CFA、FRM等资格者优先
岗位职责：
1.协助进行固收策略交易
2.协助建立衍生品定价模型体系、设计对冲及交易策略
职能类别：
财务经理",None,https://jobs.51job.com/shenzhen/101471570.html?s=01&t=0
平安证券股份有限公司,"
量化实习生（深圳）","
深圳|无工作经验|硕士|招1人|04-28发布",,"具体要求：
1.2019年及以后毕业的重点院校计算机、金融相关专业全日制在读硕士及以上学历；
2. 有编程基础、量化分析研究技能，机器学习知识和经验者优先。
3.系统语言：VBA,PYTHON，R,C#，数据处理；
4.工作中可熟练使用中英文；
岗位职责：
1.协助量化师工作，进行量化分析研究；
2.以ＭＳ　Office　为平台，协助开发，维护做市交易定价，风险，及策略系统。
职能类别：
生产总监",None,https://jobs.51job.com/shenzhen/101471955.html?s=01&t=0
平安证券股份有限公司,"
决策分析实习生（深圳）","
深圳|无工作经验|硕士|招1人|04-28发布",,"具体要求：
1、学历、专业要求：重点院校计算机、应用数学、数据挖掘与人工智能等相关专业，2019届全日制硕士在读
2、专业技能要求：具有一定编程能力，熟悉sql，至少使用过一种数据分析工具，如SAS、R、python等
3、综合素质要求：有较强的沟通能力、学习能力、理解能力、自我驱动力、创新能力，逻辑性强
岗位职责：
1. 协助日常决策分析工作；
2. 协助AI智能投顾模型开发；
3. 协助市场舆情工作；
4. 协助资产分析等项目性工作；
5. 完成领导交办的其它工作。
职能类别：
市场分析/调研人员",None,https://jobs.51job.com/shenzhen/101472287.html?s=01&t=0
平安证券股份有限公司,"
大数据模型实习生（深圳）","
深圳|无工作经验|硕士|招1人|04-28发布",,"具体要求：
1、学历、专业要求：重点院校计算机、应用数学、数据挖掘与人工智能等相关专业，2019届全日制硕士在读
2、专业技能要求：具有一定编程能力，熟悉sql,hive语言，至少使用过一种数据分析工具，如SAS、R、python等
3、综合素质要求：有较强的沟通能力、学习能力、理解能力、自我驱动力、创新能力，逻辑性强
岗位职责：
1. 协助日常模型开发工作；
2. 协助AI诊股机器人的开发；
3. 协助标签开发等数据开发工作；
4. 协助业务商机支持工作；
5. 完成领导交办的其它工作。
职能类别：
大数据开发/分析",None,https://jobs.51job.com/shenzhen/101472310.html?s=01&t=0
亚信科技（中国）有限公司,"
测试实习生（深圳）","
深圳|无工作经验|本科|招若干人|07-24发布",,"【工作职责】
1、负责CRM产品研发族群，实施测试；
2、功能测试，性能测试。
【职位要求】
1、2019届应届毕业生，本科及以上学历，计算机、软件、通信、电子等相关专业；
2、熟悉软件工程理论和基础测试理论，熟悉CMMI者优先；
3、有一定的SQL写作能力和linux Shell脚本能力，熟悉python者优先；
4、接触过常用测试工具者优先，如loadrunner,Jmeter,Selenium等。
5、实习时间要求一周能保证至少4天，实习周期3个月以上，能保证实习6个月以上的优先考虑。
职能类别：
大学/大专应届毕业生",None,https://jobs.51job.com/shenzhen/101435040.html?s=01&t=0
深圳市凯丰投资管理有限公司,"
衍生品交易助理实习生","
深圳-福田区|无工作经验|招1人|07-27发布",150元/天,"岗位职责：
1.收集并整理市场报价，发现交易机会；
2.
对交易对手的各项材料进行基础的审核、整理；
3.辅助衍生品定价，设计定价模型；
4.领导交办的其他工作内容。
任职要求：
1.硕士及以上学历，理工科、金融类专业；
2.工作态度认真细致；
3.数学基础良好，了解或有能力自学期权定价模型；
4.有基础编程能力（会vba，python，r，matlab等其中一种）；
5.实习期3个月起，每周至少4天。
我们将为你提供：
1.衍生品定价、交易，大宗商品基本面的研究方法培训；
2.餐补、宿舍等其他福利。
职能类别：
金融/经济研究员
其他",益田路6001号太平金融大厦26层,https://jobs.51job.com/shenzhen-ftq/104665956.html?s=01&t=0
深圳市通天在野网络技术有限公司,"
数字货币操盘手（实习高薪）","
深圳-龙华新区|无工作经验|招若干人|08-07发布",2-2.5万/月,"1、数字货币交易操作品种为比特币、莱特币、以太坊等数字货币；
  2、深入研究比特币、以太坊等主流币种，对非主流货币观察研究；
  3、进行币值管理，实现币值最大化；
  4、每天汇报仓位情况，交易总结及工作进度；
  5、活动协调，管理维护客户关系以及客户间的长期战略合作计划；
6、操作公司指定账户的运作，无论是实习阶段，试用期，正式录用后，都是由公司提供资金；
  任职资格：
  1、高度负责账户资金，严格执行安全控制；
  2、为人正直，待人真诚，毅力坚强，懂珍惜和感恩；
  3、良好的学习习惯并刻苦努力，能快速接受新事物及理念；
  4、数字形态敏感，严于律己，较好的逻辑分析和抗压能力；
5、敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务 ；
6、大学专科及以上学历，了解Python等脚本语言优先；欢迎应届毕业生前来锻炼自己，挑战自我，欢迎优秀伙伴加入！
7、如果您是一名新手，我们将有强大的培训和交易支援体系帮助您，公司会在工作中不断开展专业知识及技能方面的培训；
8、男女不限，公司帅哥美女多！
职位前景：
  1、学习全球最新区块链技术及区块链资产交易；
  2、掌握行业动态，资金流向，价格追踪交易，多间交易所间对冲套利，趋势交易，量化交易及价值投资；
  3、深切研究「资产上链」在传统经济，私募投资及跨国交易的顚覆性；
  4、与机构投资者，交易所，技术方，项目方，行业大咖，知名艺人及媒体建立关系；
5、区块链的出现，标志着「价值互联网」时代的到来，行业正处于起步阶段，前途无量。
全职薪资构架：车费+底薪+奖金+分成+年底分红(优秀者年薪80-100万)
                                        
电话号码：13926514794 Andrew（请备注职位，欢迎预约报名面试）
职能类别：
股票/期货操盘手
风险管理/控制
关键字：
操盘手
数字货币
比特币
以太坊
python",汇海广场A座1306,https://jobs.51job.com/shenzhen-lhxq/104367798.html?s=01&t=0
深圳市通天在野网络技术有限公司,"
2万月薪起，Python量化交易员","
深圳-龙华新区|无工作经验|招10人|08-07发布",2-2.5万/月,"1、数字货币交易操作品种为比特币、莱特币、以太坊等数字货币；
2、深入研究比特币、以太坊等主流币种，对非主流货币观察研究；
3、进行币值管理，实现币值最大化；
4、每天汇报仓位情况，交易总结及工作进度；
5、活动协调，管理维护客户关系以及客户间的长期战略合作计划；
6、操作公司指定账户的运作，无论是实习阶段，试用期，正式录用后，都是由公司提供资金；
任职资格：
1、高度负责账户资金，严格执行安全控制；
2、为人正直，待人真诚，毅力坚强，懂珍惜和感恩；
3、良好的学习习惯并刻苦努力，能快速接受新事物及理念；
4、数字形态敏感，严于律己，较好的逻辑分析和抗压能力；
5、敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务 ；
6、大学专科及以上学历，了解Python等脚本语言优先；欢迎应届毕业生前来锻炼自己，挑战自我，欢迎优秀伙伴加入！
7、如果您是一名新手，我们将有强大的培训和交易支援体系帮助您，公司会在工作中不断开展专业知识及技能方面的培训；
8、男女不限，公司帅哥美女多！
职位前景：
1、学习全球最新区块链技术及区块链资产交易；
2、掌握行业动态，资金流向，价格追踪交易，多间交易所间对冲套利，趋势交易，量化交易及价值投资；
3、深切研究「资产上链」在传统经济，私募投资及跨国交易的顚覆性；
4、与机构投资者，交易所，技术方，项目方，行业大咖，知名艺人及媒体建立关系；
5、区块链的出现，标志着「价值互联网」时代的到来，行业正处于起步阶段，前途无量。
薪资构架：车费+底薪+奖金+分成+年底分红(优秀者年薪80-100万)
                                        
电话号码：13926514794 Andrew（请备注职位，欢迎预约报名面试）
职能类别：
脚本开发工程师
大数据开发/分析
关键字：
操盘手
数字货币
比特币
以太坊
python",深圳市龙华新区汇海广场A座1306室，1304-1308,https://jobs.51job.com/shenzhen-lhxq/104367812.html?s=01&t=0
中国科学院深圳先进技术研究院,"
客座学生-蔚鹏飞博士课题研究组","
深圳|无工作经验|本科|招若干人|08-17发布",1.5-2千/月,"蔚鹏飞博士研究组以小鼠为实验对象，利用多种前沿神经科学技术包括光遗传学、化学遗传学、双光子成像，结合传统神经电生理、行为学，在细胞以及神经环路水平研究视觉信息加工、视觉注意、情绪加工等基本认知功能，并探索相应的神经调控方法，为临床上治疗注意缺陷、自闭症等提供科学依据。因工作需要向社会公开招聘研究助理
/客座学生1名。欢迎有生物医学工程、电子信息科学、计算机科学及相关学科背景的候选人申请。
 
客座学生应聘条件:
1) 在计算机视觉、图像处理、信号处理、机器学习、深度学习方面有深入了解，学习过相关课程，即将获得相关专业的学位，有较强的数学基础。
2) 熟练使用C语言、MATLAB、python语言等其中的一门或几门，熟练掌握OpenCV或MATLAB图像处理流程，熟悉MATLAB或python机器学习项目开发流程，了解常用的深度学习框架。 
3) 对硬件有一定了解，会使用开源摄像头的API（会使用单片机、DSP等可编程处理器优先考虑）。
4)
 
参加过计算机视觉
/机器学习相关的项目或竞赛，在团队中担任主力，有实物作品（包括软件）。
5
) 具备良好的英语沟通能力和科研文献阅读能力。
 
薪酬和待遇：
1
) 
餐费补助
2
) 
学习补助
3
) 
开具实习证明
 
职能类别：
电子技术研发工程师",None,https://jobs.51job.com/shenzhen/105644625.html?s=01&t=0
深圳禾略贝塔投资咨询有限公司,"
房地产行业数据分析师（实习生）","
深圳-南山区|1年经验|本科|招3人|08-15发布|普通话|统计学 数学与应用数学",3.5-4千/月,"我们是一家创新、开放的房地产咨询公司，致力于将统计学、高等数学、量子物理等理论，通过大数据应用在房地产传统业务上。
老板很帅、同事很cool、大家都很nice。我们的工作特别烧脑，每天都在做研究，工作时间不限制，工作职能是叠加态，特别锻炼人，与未来接轨，不用担心被时代淘汰！
欢迎浏览公司官网：http://www.urasr.com/；公众号：禾略（helue_China）。
随着公司业务规模的扩张，现在急需招募广大有志青年，一起change the world！
工作内容包括但不局限于：
1、 数据清洗、建模，分析城市的关系、发展历程、前景；
2、 建模研究城市指标，判断城市属性、投资机会，独立完成研究报告；
3、 挖掘城市的发展机会点；
4、 建模细分客群，研究客户的共性和差异性；
5、 创造性的研发工作。
专业技能要求：
1、 熟悉运用SPSS、R、Python、SAS、MATLAB、Stata等数据分析软件；
2、 丰富的数据处理经验，快速学习能力；
3、 工作高效，严谨细致，责任心强。
无论您在哪里，在禾略的世界里，您都将连上世界的头脑风暴！
职能类别：
房地产投资分析
调研员
关键字：
大数据分析
房地产
咨询
大数据
实习生",海岸大厦东座B区14楼,https://jobs.51job.com/shenzhen-nsq/92282691.html?s=01&t=0
深圳聚米联合科技有限公司,"
软件测试实习生","
深圳-福田区|无工作经验|大专|招2人|08-16发布",0.8-1万/月,"职位要求：
1、大专以上学历，计算机相关专业；
2、熟悉Oracle，了解Python程序设计；
3、熟悉软件测试流程及测试设计；
4、具备较强的逻辑分析能力和钻研精神；
5、有平台测试及金融行业背景优先。
工作职责：
1、从事公司研发产品的测试工作，包括测试分析设计、测试执行等；
2、负责项目跟进及产品质量把控，对项目负责，有独当一面的能力。
职能类别：
质量检验员/测试员
软件测试",联合广场,https://jobs.51job.com/shenzhen-ftq/96020746.html?s=01&t=0
